Part No.;Type;Manufacture;Terrestrial;Flight;TID-Co60;TID-ELDRS;TID-Protons;TID-Electrons;SEU;SET;SEFI;SEL;SEB;SEGR;Dose Rate;DD-Protons;DD-Neutrons;Facilities;Standard;Environment;Shielding
AD9705;10 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
AD7564;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD7847;12 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
DAC8222;12 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
AD7945;12 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
AD667A;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
AD7943;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD7541A;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD7245A;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
MAX539;12 bit DAC;Maxim;Y;;Y;;;;;;;H;;;;;;;;;
DAC8413;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
AD5320;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD667;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
MAX5121;12 bit DAC;Maxim;Y;;Y;;;;;;;H;;;;;;;;;
MAX5133;12 bit DAC;Maxim;Y;;;;;;;;;H;;;;;;;;;
MX7545A;12 bit DAC;Maxim;Y;;Y;;;;;;;H;;;;;;;;;
AD565;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
AD7545;12 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
TLV5636;12 bit DAC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
TLV5616;12 bit DAC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
AD562;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
DAC8420;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
HS9-565ARH;12 bit DAC;Intersil;Y;;Y;;;;;;;;;;;;;;;;
DAC8143;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
DAC121S101-SP;12 bit DAC;Texas Instruments;Y;;Y;;;;;;;H;;;;;;;;;
MAX5130;13 bit DAC;Maxim;Y;;;;;;;;;H;;;;;;;;;
AD7535;14 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
AD5545;14 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
DAC5675;14 bit DAC;Texas Instruments;Y;;Y;;;;;;;H;;;;;;;;;
DAC5675A;14 bit DAC;Texas Instruments;Y;;Y;;;;;;;H;;;;;;;;;
AD5544;16 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD7846B;16 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
LTC1595;16 bit DAC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
LTC1650;16 bit DAC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
LTC1657;16 bit DAC;Linear Technology;Y;;Y;;;;;;;H;;;;;;;;;
AD768;16 bit DAC;Analog Devices;Y;;Y;;;;;;;H;;;;;;;;;
ADXL327;Accelerometer;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
LM7171AMWGFLQV;Operational Amplifier;Texas Instruments;Y;;Y;Y;;;;;;;;;;;;;;;
LM6172AMGWRLQV;Operational Amplifier;Texas Instruments;Y;;Y;Y;;;;;;;;;;;;;;;
AD9763ASTZ;10 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
ADF4106BRU;PLL;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
ADF4111BRU;PLL;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD7654ASTZ;16 bit ADC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD9833BRMZ;28 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
AD9762AR;12 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
HA2-2640;Operational Amplifier;Intersil;Y;;;Y;;;;;;;;;;;;;;;
MSA0670;Operational Amplifier;Avago;Y;;;Y;;;;;;;;;;;;;;;
THS4131;Operational Amplifier;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
OPA128;Operational Amplifier;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
SFT 5094;Operational Amplifier;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
MAX9180;LVDS Repeater;Maxim;Y;;Y;;;;;;;;;;;;;;;;
MCI0EL31;Logic;ON Semi;Y;;Y;;;;;;;;;;;;;;;;
54AC258;Multiplexer;E2V;Y;;Y;;;;;;;;;;;;;;;;
SFT 5094;Operational Amplifier;Analog Devices;Y;;Y;Y;;;;;;;;;;;;;;;
MAT-01;NPN BJT Pair;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
2N5434;JFET;Siliconix;Y;;Y;;;;;;;;;;;;;;;;
AD96687;Analog Comparator;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
UC1823A;Pulse Width Modulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
LM124;Operational Amplifier;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
LM158AJRQMLV;Operational Amplifier;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
RH1013MH;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1013MJ8;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1078MH;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1078W;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RHF310;Operational Amplifier;ST Microelectronics;Y;;;Y;;;;;;;;;;;;;;;
RHF43B;Operational Amplifier;ST Microelectronics;Y;;;Y;;;;;;;;;;;;;;;
2N2222;NPN BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
2N3811JS;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N3811UX;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N2222AJSR;NPN BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
2N2907;PNP BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N2857;PNP BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
2N2369;NPN BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
2N3700JV;NPN BJT;Semicoa;Y;;Y;Y;;;;;;;;;;;;;;;
2N3700UBJV;NPN BJT;Semicoa;Y;;Y;Y;;;;;;;;;;;;;;;
2N5154;PNP BJT;Semicoa;Y;;;Y;;;;;;;;;;;;;;;
LM317KTTR;Voltage Regulator;Texas Instruments;Y;;Y;Y;;;;;;;;;;;;;;;
LT1009IDR;Voltage Reference Internal;Texas Instruments;Y;;Y;Y;;;;;;;;;;;;;;;
RHFL4913ESY332;Voltage Regulator;ST Microelectronics;Y;;Y;Y;;;;;;;;;;;;;;;
RHFL4913KP332;Voltage Regulator;ST Microelectronics;Y;;Y;Y;;;;;;;;;;;;;;;
TL750M05CKTRR;Low Dropout Voltage Regulator;Texas Instruments;Y;;Y;Y;;;;;;;;;;;;;;;
LM139AWRQMLV;Voltage Comparator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
BUY15CS23J-01;Power MOSFET;Infineon;Y;;;;;;;;;;;H;;;;;;;
DG403;Analog Switch;Vishay;Y;;;;;;;;;H;;;;;;;;;
2N6790;Power MOSFET;International Rectifier;Y;;;;;;;;;;;H;;;;;;;
2N6845;Power MOSFET;International Rectifier;Y;;;;;;;;;;;H;;;;;;;
LM195;Power Bipolar;National Semiconductor;Y;;;;;;;;;;H;;;;;;;;
1N5554;Diode;MicroSemi;Y;;;;;;;;;;H;;;;;;;;
DSS17-06CR;Diode;IXYS;Y;;;;;;;;;;H;;;;;;;;
FST30100;Diode;MicroSemi;Y;;;;;;;;;;H;;;;;;;;
FYPF1545;Diode;Fairchild Semicinductor;Y;;;;;;;;;;H;;;;;;;;
FYPF2045;Diode;Fairchild Semicinductor;Y;;;;;;;;;;H;;;;;;;;
FYPF2006;Diode;Fairchild Semicinductor;Y;;;;;;;;;;H;;;;;;;;
FYPF1010;Diode;Fairchild Semicinductor;Y;;;;;;;;;;H;;;;;;;;
MBR2045;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
MBR2060;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
MBR20200;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
MBR40250;Diode;ON Semi;Y;;;;;;;;;;H;;;;;;;;
MBRF20100;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
MBRF30100;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
LXA03T600;Diode;Power Integration;Y;;;;;;;;;;H;;;;;;;;
LXA20T600;Diode;Power Integration;Y;;;;;;;;;;H;;;;;;;;
VS-APH3006-N3;Diode;Vishay;Y;;;;;;;;;;H;;;;;;;;
SBL8L40;Diode;Vishay;Y;;;;;;;;;;H;;;;;;;;
SBL1040;Diode;Vishay;Y;;;;;;;;;;H;;;;;;;;
SBL1045;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
SBL3040;Diode;Vishay;Y;;;;;;;;;;H;;;;;;;;
SBR20A300;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
SBR30300;Diode;Diodes Inc.;Y;;;;;;;;;;H;;;;;;;;
CPM2-1200-0025B;Power MOSFET;Cree;Y;;;;;;;;;;H;;;;;;;;
CPM3-3300;Power MOSFET;Cree;Y;;;;;;;;;;H;;;;;;;;
Test chip;Diode;General Electric;Y;;;;;;;;;;H;;;;;;;;
Test chip;Diode;General Electric;Y;;;;;;;;;;H;;;;;;;;
Test chip;Power MOSFET;General Electric;Y;;;;;;;;;;H;;;;;;;;
STPSC1006D;Diode;ST Microelectronics;Y;;;;;;;;;;H;;;;;;;;
OPA2107;Operational Amplifier;Texas Instruments;Y;;;;;;;;;;H;H;;;;;;;
AD8038;Operational Amplifier;Analog Devices;Y;;;;;;;;;;H;H;;;;;;;
LT2078;Operational Amplifier;Linear Technology;Y;;;;;;;;;;;H;;;;;;;
OP470;Operational Amplifier;Analog Devices;Y;;;;;;;;;;;H;;;;;;;
OP200;Operational Amplifier;Analog Devices;Y;;;;;;;;;;;H;;;;;;;
OP400;Operational Amplifier;Analog Devices;Y;;;;;;;;;;;H;;;;;;;
AD5328;8 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
MAX9180;LVDS Repeater;Maxim;Y;;;;;;;;;H;;;;;;;;;
ADV212;Video Encoder;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
LP2953;Low Dropout Voltage Regulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
ISL7457;Power MOSFET Driver;Intersil;Y;;;Y;;;;;;;;;;;;;;;
MSK2541;Operational Amplifier;MS Kennedy;Y;;;Y;;;;;;;;;;;;;;;
HCC4051;Analog Multiplexer;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
QT190;Oscillator;Q-Tech;Y;;;;;;;;;H;;;;;;;;;
ISL7457;Power MOSFET Driver;Intersil;Y;;;;;;;;;H;;;;;;;;;
AD8629;Operational Amplifier;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
74LVC8T245;Translating Transceiver;Texas Instruments;Y;;;;;;;H;;H;;;;;;;;;
AM26C31;Differnetial Driver;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
AM26C32;Differential Receiver;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
AD7870;12 bit ADC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
54HC595;Flip-Flop;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
IRHNA7460;Power MOSFET;International Rectifier;Y;;;;;;;;;;;H;;;;;;;
PGA26E19BA;GaN HEMT;Panasonic;Y;;;;;;;;;;H;;;;;;;;
GS66516T;GaN HEMT;GaN Systems;Y;;;;;;;;;;H;;;;;;;;
GS61008PE03;GaN HEMT;GaN Systems;Y;;;;;;;;;;H;;;;;;;;
2N2222A;NPN BJT;Motorola;Y;;Y;;;;;H;;;;;;;Y;;;;
2N2907A;PNP BJT;Motorola;Y;;Y;;;;;H;;;;;;;Y;;;;
RH1021;Voltage Reference;Linear Technology;Y;;Y;;;;;H;;;;;;;Y;;;;
LM113;Voltage Reference;National Semiconductor;Y;;Y;;;;;H;;;;;;;Y;;;;
HS-117RH;Voltage Regulator;Intersil;Y;;;;;;;;;;;;;;Y;;;;
HS-1825ARH;Pulse Width Modulator;Intersil;Y;;;;;;;;;;;;;;Y;;;;
HS-4424DEH;Power MOSFET Driver;Intersil;Y;;;;;;;;;;;;;;Y;;;;
IS-139ASRH;Voltage Comparator;Intersil;Y;;;;;;;;;;;;;;Y;;;;
IS-1845ASRH;Pulse Width Modulator;Intersil;Y;;;;;;;;;;;;;;Y;;;;
HS-303ARH;Analog Switch;Intersil;Y;;;;;;;;;;;;;;Y;;;;
HS-303CEH;Analog Switch;Intersil;Y;;;;;;;;;;;;;;Y;;;;
ISL70419SEH;Operational Amplifier;Intersil;Y;;;;;;;;;;;;;;Y;;;;
ISL71090SEH;Voltage Reference;Intersil;Y;;;;;;;;;;;;;;Y;;;;
ISL75051SEH;Low Dropout Voltage Regulator;Intersil;Y;;;;;;;;;;;;;;Y;;;;
ISL705AEH;uP Supervisor;Intersil;Y;;;;;;;;;;;;;;Y;;;;
OLS049;Optocoupler;Isolink;Y;;;;;;;;;;;;;Y;;;;;
66296-101;Optocoupler;Isolink;Y;;;;;;;;;;;;;Y;;;;;
66224-103JANTX;Optocoupler;Micropac;Y;;;;;;;;;;;;;Y;;;;;
66179-003;Optocoupler;Micropac;Y;;;;;;;;;;;;;Y;;;;;
TPS54226;DC-DC Converter;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
LT3845;DC-DC Converter;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
LTC3129;DC-DC Converter;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
TPS562209;DC-DC Converter;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
ADA4091;Operational Amplifier;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
MAX10;SRAM FPGA;Altera;Y;;;;;;;;;H;;;;;;;;;
Virtex-6;SRAM FPGA;Xilinx;Y;;;;;;;;;H;;;;;;;;;
TPS7H3301-SP;Voltage Regulator;Texas Instruments;Y;;Y;Y;;;;H;;H;;;;;;;;;
LM336Z5;Voltage Reference;Fairchild Semicinductor;Y;;Y;;;;;;;;;;;;;;;;
LM336Z5;Voltage Reference;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
LM4040DIZ5;Voltage Reference;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
KA7805AETU;Voltage Regulator;Fairchild Semicinductor;Y;;Y;;;;;;;;;;;;;;;;
PIC18F4520;Microcontroller;Microchip;Y;;Y;;;;;;;;;;;;;;;;
INA114;Instrumentation Amplifier;Burr-Browm;Y;;;;;;;H,P;;;;;;;;;;;
INA118;Instrumentation Amplifier;Burr-Brown;Y;;;;;;;H,P;;;;;;;;;;;
LT1168;Instrumentation Amplifier;Linear Technology;Y;;;;;;;H,P;;;;;;;;;;;
AD845;Operational Amplifier;Analog Devices;Y;;;;;;;H,P;;;;;;;;;;;
TLE2071;Operational Amplifier;Texas Instruments;Y;;;;;;;H,P;;;;;;;;;;;
LT1122;Operational Amplifier;Linear Technology;Y;;;;;;;H,P;;;;;;;;;;;
OP27G;Operational Amplifier;;Y;;Y;Y;;;;;;;;;;;;;;;
OP484F;Operational Amplifier;;Y;;Y;Y;;;;;;;;;;;;;;;
LM139D;Voltage Comparator;;Y;;Y;Y;;;;;;;;;;;;;;;
MAX4508;Analog Multiplexer;;Y;;Y;Y;;;;;;;;;;;;;;;
LM317DCY;Voltage Regulator;;Y;;Y;Y;;;;;;;;;;;;;;;
BQ652BQ;Voltage to Frequency Converter;;Y;;Y;Y;;;;;;;;;;;;;;;
LMH6702JFLQMLV;Operational Amplifier;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
LMH6702JWGFLQMLV;Operational Amplifier;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
LMH6702JFQMLV;Operational Amplifier;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
LMH6702WGFQMLV;Operational Amplifier;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
DAC8800BR/883C;8 bit DAC;Analog Devices;Y;;;;;;;H;H;;;;;;;;;;
LTC1417AIGN;14-bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
AD620SQ/883B;Instrumentation Amplifier;Analog Devices;Y;;;;;;;H;;;;;;;;;;;
AD744TH/883B;Operational Amplifier;Analog Devices;Y;;;;;;;H;;;;;;;;;;;
MIC4427;Power MOSFET Driver;Microchip;Y;;;;;;;H;;;;;;;;;;;
NJVMJB44H11G;BJT NPN;ON Semi;Y;;;;;;;;;;;;;;;;;;
NJVMJB45H11G;BJT PNP;ON Semi;Y;;;;;;;;;;;;;;;;;;
DG401;Analog Switch;Maxim;Y;;;;Y;;;H,P;;;;;;;;;;;
DG403;Analog Switch;Maxim;Y;;;;Y;;;H,P;;;;;;;;;;;
DG401;Analog Switch;Intersil;Y;;;;Y;;;H,P;;;;;;;;;;;
DG403;Analog Switch;Intersil;Y;;;;Y;;;H,P;;;;;;;;;;;
DG401;Analog Switch;Vishay;Y;;;;Y;;;H,P;;;;;;;;;;;
DG403;Analog Switch;Vishay;Y;;;;Y;;;H,P;;;;;;;;;;;
ADS1282-SP;31-bit ADC;Texas Instruments;Y;;;;;;;H;;;;;;;;;;;
VSP1221;12-bit CCD Processor;Texas Instruments;Y;;;;;;;;;H;;;;;Y;;;;
ASIC;8-bit ADC;Boeing, IBM 32nm SOI;Y;;Y;;;;;;;;;;;;;;;;
ISL72027SEH;CAN Bus Transceiver;Intersil;Y;;;Y;;;;;;;;;;;;;;;
UT64BS1X433;Bus Switch;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
UT32BS1X433;Bus Switch;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
UT54BS32245;Bus Switch;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
UT54BS16210;Bus Switch;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
UT54BS16245;Bus Switch;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
UT54BS3245;Bus Switch;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
UT64CAN333x;CAN Transceiver;Cobham;Y;;Y;;;;;;;H;;;;;;;;;
XCKU040-2FBVA1156E;SRAM FPGA;Xilinx;Y;;;;;;;;H;;;;;;;;;;
VX330TFFG1761;SRAM FPGA;Xilinx;Y;;;;;;;;H;;;;;;;;;;
VX485T-2FFG1761;SRAM FPGA;Xilinx;Y;;;;;;;;H;;;;;;;;;;
ISSI IS42S86400B-7TLI;SDRAM;Integrated Silicon Solutions;Y;;Y;;;;;;;;;;;;;;;;
ISSI IS43DR81280;DRR2;Integrated Silicon Solutions;Y;;Y;;;;;;;;;;;;;;;;
MT41J128M8JP-15E;DRR3;Micron;Y;;Y;;;;;;;;;;;;;;;;
K4B1G0446GBCH9000;DDR3;Samsung;Y;;Y;;;;;;;;;;;;;;;;
EPC610;Photonic Mixer;Espros Photonics AG;Y;;;;;;;;;;;;;Y;;;;;
;Chalcogenide glasses;;Y;;Y;;;;;;;;;;;;;;;;
;RADFET;;;Y;;;;;;;;;;;;;;;Y;;
OMH3075;Hall Effect Sensor;Optek;Y;;;;;;;L;;;;;;;;;;;
TLE4945;Hall Effect Sensor;Infineon;Y;;;;;;;L;;;;;;;;;;;
Test Facility;TPA Laser SEE Test Facility;University of Saskatchewan;;;;;;;;;;;;;;;;Y;;;
Test Facility;Co60 Cell;VPTRad;;;;;;;;;;;;;;;;Y;;;
AD627;Operational Amplifier;Analog Devices;Y;;;;;;;H;;;;;;;;;;;
;Heavy ion SEE;UCL;;;;;;;;;;;;;;;;Y;;;
;Heavy ion SEE;JNIR;;;;;;;;;;;;;;;;Y;;;
DAC121S101;12 bit DAC;Texas Instruments;Y;;Y;;;;;H;;;;;;;;;;;
LTC2272;16 bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
LTC2387-18;18 bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
XC2C64A;CPLD;Xilinx;Y;;;;;;;;;H;;;;;;;;;
AD7306;Transceiver;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
LTC2872IUHF;Transceiver;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
ISL32602E;Transceiver;Intersil;Y;;;;;;;;;H;;;;;;;;;
A3967SLB;Microstepping Driver;Allegro MicroSystems;Y;;;;;;;;;H;;;;;;;;;
MAX3221EIPW;Transceiver;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
93AA86B;EEPROM;Microchip Technologies;Y;;;;;;;;;H;;;;;;;;;
AD8552ARUZ;Operational Amplifier;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
TPS767D318;Low Dropout Voltage Regulator;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
TMS320F2808PZ;Digital Signal Processor;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
ADS8320;16 bit ADC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
TPS51200DRC;DDR Termination Regulator;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
TXS02612RTWR;SDIO Port Expander;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
MAX16043TG;Supervisory Circuit;Maxim;Y;;;;;;;;;H;;;;;;;;;
LTC3428;Switching Regulator;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
AD5685RTCPZ;DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
LTC3708;Pulse Width Modulator;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
EN6347QI;DC-DC Converter;Altera;Y;;;;;;;;;H;;;;;;;;;
TPS22921YZPR;Load Switch;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
SI5338B;Clock Generator;Silicon Labs;Y;;;;;;;;;H;;;;;;;;;
NB6L14SMNG;Clock Receiver;ON Semi;Y;;;;;;;;;H;;;;;;;;;
ADS1178;16 bit ADC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
ISL21080DIH;Voltage Reference;Intersil;Y;;;;;;;;;H;;;;;;;;;
SHPCIE100;Oscillator;Pericom;Y;;;;;;;;;H;;;;;;;;;
TPS54821;DC-DC Converter;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
AD7609;18 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
ADS8320;16 bit ADC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
ADS1278;24 bit ADC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
LTC2387;18 bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
ADS1178;16 bit ADC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
AD5685;14 bit DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
LTC4151;Voltage/Current Monitor;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
LTC2945;Power Monitor;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
MAX16058;Supervisory Circuit;Maxim;Y;;;;;;;;;H;;;;;;;;;
LTC6104;Current Sense Amplifier;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
AD7793;24 bit ADC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
LTC2309;12 bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
AD5242;Digital Potentiometer;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
MAX1254;12 bit ADC;Maxim;Y;;;;;;;;;H;;;;;;;;;
MAX31855;Thermocouple to Digital;Maxim;Y;;;;;;;;;H;;;;;;;;;
LTC2271;16 bit ADC;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
UCC27211;Gate Driver;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
DRV8870;M otor Driver;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
HS4424;MOSFET Driver;Intersil;Y;;;;;;;;;H;;;;;;;;;
EP3C10M1645C8N;FPGA;Altera;Y;;;;;;;;;H;;;;;;;;;
;ASIC;Todds ASIC;Y;;;;;;;;;H;;;;;;;;;
;ASIC;ECOSTRESS ASIC;Y;;;;;;;;;H;;;;;;;;;
LCMXO2-4000HC;FPGA;Lattice Semiconductor;Y;;;;;;;;;H;;;;;;;;;
NB6L14SMNG;LVDS Buffer;ON Semi;Y;;;;;;;;;H;;;;;;;;;
Si5338B;Clock Buffer;Silicon Labs;Y;;;;;;;;;H;;;;;;;;;
ATXMEGA32E5;MicroController;Microchip Technologies;Y;;;;;;;;;H;;;;;;;;;
EP5368QI;SOC;Altera;Y;;;;;;;;;H;;;;;;;;;
EFM32WG;MicroController;Silicon Labs;Y;;;;;;;;;H;;;;;;;;;
CC3200;MicroController;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
NRF52832;MicroController;Nordic Semiconductor;Y;;;;;;;;;H;;;;;;;;;
QCA7000;PHY;Qualcomm;Y;;;;;;;;;H;;;;;;;;;
XBEES2D;RF Transceiver;Digi Internaltional;Y;;;;;;;;;H;;;;;;;;;
XBEES1D;RF Transceiver;Digi Internaltional;Y;;;;;;;;;H;;;;;;;;;
AD9361;RF Transceiver;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
XMEGA256A3U;MicroController;Atmel;Y;;;;;;;;;H;;;;;;;;;
TPS22921;Load Switch;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
SHPCIE100;Oscillator;Saronix-ecera;Y;;;;;;;;;H;;;;;;;;;
TMS320F2808PZS;Digital Signal Processor;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
IRS2011;MOSFET Driver;Infineon;Y;;;;;;;;;H;;;;;;;;;
ADIS16209;Inclinometer;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
IMX214;CMOS Imager;Sony;Y;;;;;;;;;H;;;;;;;;;
SCA100T-D02;Inclinometer;Murata;Y;;;;;;;;;H;;;;;;;;;
MAX17005B;Batteru Charge Controller;Maxim;Y;;;;;;;;;H;;;;;;;;;
BMI160;Inertial Measurement Unit;Bosch;Y;;;;;;;;;H;;;;;;;;;
MPU-9250;MEMS Senor;InvenSense;Y;;;;;;;;;H;;;;;;;;;
BMP280;Barometric Pressure Sensor;Bosch;Y;;;;;;;;;H;;;;;;;;;
ADG804YRM;Analog Multiplexer;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
HS-201;Analog Switch;Intersil;Y;;;;;;;;;H;;;;;;;;;
A3967;Motor Driver;Allegro MicroSystems;Y;;;;;;;;;H;;;;;;;;;
MAX16043;Voltage Monitor;Maxim;Y;;;;;;;;;H;;;;;;;;;
LTC680313;Battery Stack Monitor;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
CMV2000;CMOS Imager;CMOSIS;Y;;;;;;;;;H;;;;;;;;;
TXS02612RTWR;Level Translator;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
SCA100T;Inclinometer;Murata;Y;;;;;;;;;H;;;;;;;;;
LT8490;Battery Charge Controller;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
TXS0108EPWR;Level Translator;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
