Part No.,Type,Manufacture,Terrestrial,Flight,TID-Co60,TID-ELDRS,TID-Protons,TID-Electrons,Dose Rate,DD-Protons,DD-Neutrons,Facilities,Standard,Environment,Shielding,SEE
Test structure,90nm Nano Crystal Memory,Freescale,Y,,Y,,,,,,,,,,,[]
53272,Power MOSFET Optocoupler,Micropac,Y,,,,,,,Y,,,,,,[]
HCPL-6731,Optocoupler,Agilent,Y,,,,,,,Y,,,,,,[]
HCPL-520K,Optocoupler,Agilent,Y,,,,,,,Y,,,,,,[]
HCPL-655K,Optocoupler,Agilent,Y,,,,,,,Y,,,,,,[]
HCPL-553K,Optocoupler,Agilent,Y,,,,,,,Y,,,,,,[]
LTX1000A,Voltage Reference,Linear Technology,Y,,,,,,,Y,,,,,,[]
STAR1000,CMOS Image Sensor,Fill Factory,Y,,,,,,,Y,,,,,,[]
ADV202,Video Cpmpressor,Analog Devices,Y,,,,,,,Y,,,,,,[]
28C010T,1 Mb EEPROM,Maxwell,Y,,,,,,,,,,,,,['SEL:H']
104426,Power Converter,Maxwell,Y,,,,,,,,,,,,,['SEL:H']
104648,Power Supervisor,Maxwell,Y,,,,,,,,,,,,,['SEL:H']
27C010T,1 Mb UVPROM,Maxwell,Y,,,,,,,,,,,,,['SEL:H']
7846,16 bit ADC,Maxwell,Y,,,,,,,,,,,,,['SEL:H']
29F0408,32 Mb Flash,Maxwell,Y,,Y,,,,,,,,,,,[]
7672,12 bit ADC,Maxwell,Y,,Y,,,,,,,,,,,[]
7809,16 bit ADC,Maxwell,Y,,Y,,,,,,,,,,,[]
8408,8 bit DAC,Maxwell,Y,,Y,,,,,,,,,,,[]
7872,12 bit ADC,Maxwell,Y,,Y,,,,,,,,,,,[]
AD565,12 bit DAC,Analog Devices,Y,,,,,,,,,,,,,['SET:H']
AD650,Voltage to Frequency Converter,Analog Devices,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
OP11,Operational Amplifier,Analog Devices,Y,,,,,,,,,,,,,"['SEL:H', 'SEB:H']"
RHFL4913,Low Dropout Voltage Regulator,STMicroelectronics,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
MSK5900,Voltage Regulator,MS Kennedy,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
MSK5920,Voltage Regulator,MS Kennedy,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
RH1013,Operational Amplifier,Linear Technology,Y,,,,,,,,,,,,,['SET:H']
XQ2VP40,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEFI:H']
STAR1000,CMOS Image Sensor,Fill Factory,Y,,,,,,,,,,,,,"['SET:P', 'SEFI:P', 'SEL:P']"
PE97201,Fibre Optic Module,Peregrine Semiconductor,Y,,,,,,,,,,,,,['SEB:P']
HTE271010G9AT00,Hard Disk Drive,Hitachi,Y,,,,,,,,,,,,,"['SEFI:P', 'SEL:P']"
EP1525,FPGA,Altera,Y,,,,,,,,,,,,,['SEL:H']
7809,16 bit ADC,Maxwell,Y,,,,,,,,,,,,,['SEFI:H']
Spartan III,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEL:P']
2000m/S,Digital Camera,Adimec,Y,,,,,,,,,,,,,['SEFI:P']
D2X,Digital Camera,Nikon,Y,,,,,,,,,,,,,['SEFI:P']
DCS-760,Digital Camera,Kodak,Y,,,,,,,,,,,,,['SEFI:P']
DSR-25,Digital Video Taoe Recorder,Sony,Y,,,,,,,,,,,,,['SEFI:P']
PT1000-CL2-E,Ethernet Controller,Pleora,Y,,,,,,,,,,,,,['SEFI:P']
WRT54GX4,Wireless Router,LinkSys,Y,,,,,,,,,,,,,['SEFI:P']
WPNT834,Wireless Router,Net Gear,Y,,,,,,,,,,,,,['SEFI:P']
DI-634M,Wireless Router,D-Link,Y,,,,,,,,,,,,,['SEFI:P']
Max Line +2,Hard Disk Drive,Maxtor,Y,,,,,,,,,,,,,['SEFI:P']
ST3300831A,Hard Disk Drive,Seagate,Y,,,,,,,,,,,,,['SEFI:P']
HDS722525VLAT80,Hard Disk Drive,Hitachi,Y,,,,,,,,,,,,,['SEFI:P']
WD25000JB-98GVA0,Hard Disk Drive,Western Digital,Y,,,,,,,,,,,,,['SEFI:P']
SD-R6472,DVD R/W Drive,Toshiba,Y,,,,,,,,,,,,,['SEFI:P']
93213488,Floppy Drive,Sony,Y,,,,,,,,,,,,,['SEFI:P']
IASW5P,Ethernet Switch,B&B Electronics,Y,,,,,,,,,,,,,['SEFI:P']
SS-E05CM,Ethernet Switch,Wlinx Technology,Y,,,,,,,,,,,,,['SEFI:P']
MS1553PC104-R,1553 PC104 Card,Condor,Y,,,,,,,,,,,,,['SEFI:P']
ASF-PC014XT-1,1553 PC104 Card,SBS,Y,,,,,,,,,,,,,['SEFI:P']
SLCF1GBJ,1GB Compact Flash Card,Simple Technology,Y,,,,,,,,,,,,,['SEFI:P']
SLCF1GBJI,1GB Compact Flash Card,Simple Technology,Y,,,,,,,,,,,,,['SEFI:P']
TS1GCF45I,1GB Compact Flash Card,Transcend,Y,,,,,,,,,,,,,['SEFI:P']
CF/1024-S,1GB Compact Flash Card,Kingston,Y,,,,,,,,,,,,,['SEFI:P']
SDP3B1-1024-101-80,1GB Compact Flash Card,Sandisk,Y,,,,,,,,,,,,,['SEFI:P']
SDP3B1-1024-101-80,1GB Compact Flash Card,Sandisk,Y,,,,,,,,,,,,,['SEFI:P']
SDCFB-128-A10,256MB Compact Flash Card,Sandisk,Y,,,,,,,,,,,,,['SEFI:P']
CFN266-04B5510,256MB Compact Flash Card,Pretec,Y,,,,,,,,,,,,,['SEFI:P']
CFN266-04BG610,256MB Compact Flash Card,Pretec,Y,,,,,,,,,,,,,['SEFI:P']
CFN01G0585010,1GB Compact Flash Card,Pretec,Y,,,,,,,,,,,,,['SEFI:P']
VI-810435,DC-DC Converter,Vicor,Y,,,,,,,,,,,,,['SEFI:P']
VI-233-IW,DC-DC Converter,Vicor,Y,,,,,,,,,,,,,['SEFI:P']
VI-253-IU,DC-DC Converter,Vicor,Y,,,,,,,,,,,,,['SEFI:P']
VI-811275,DC-DC Converter,Vicor,Y,,,,,,,,,,,,,['SEFI:P']
XCR3256,CPLD,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XC95288-20HQ208I,CPLD,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XC2C64-7CP56I,CPLD,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XC2S200,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XCS20XL,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XC2V3000-5FF1152C,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XC2V250-6CS1441,FPGA,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
AM29LV800BB-90EC,8 Mbit Flash,Advanced Micro Devices,Y,,,,,,,,,,,,,['SEFI:P']
K9F2G08U0M,256MB Flash,Samsung,Y,,,,,,,,,,,,,['SEFI:P']
K9K4G08U0M,256MB Flash,Samsung,Y,,,,,,,,,,,,,['SEFI:P']
W5AB0022A042,Flash Memory Controller,TDK,Y,,,,,,,,,,,,,['SEFI:P']
DS2516APTA-75,256Mbit SDRAM,Elipida,Y,,,,,,,,,,,,,['SEFI:P']
TC59S6432CFT-80,SDRAM,Toshiba,Y,,,,,,,,,,,,,['SEFI:P']
K4S561632E-TL75,256 Mbit SDRAM,Samsung,Y,,,,,,,,,,,,,['SEFI:P']
K4H560838E-TCB3,256 Mbit DDR SDRAM,Samsung,Y,,,,,,,,,,,,,['SEFI:P']
K4H281638E-TCB3,128 Mbit SDRAM,Samsung,Y,,,,,,,,,,,,,['SEFI:P']
MT46V16M16TG-75,256 Mbit DDR SDRAM,Micron,Y,,,,,,,,,,,,,['SEFI:P']
IDTY70V9289L9RFI,64K x 16 Dual Port RAM,Integrated Device Technologies,Y,,,,,,,,,,,,,['SEFI:P']
IS41LV16256-35T,4 Mbit DRAM,ICSI,Y,,,,,,,,,,,,,['SEFI:P']
XCF08PFS48C,Flash PROM,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
XC95144-7PQ100,CPLD,Xilinx,Y,,,,,,,,,,,,,['SEFI:P']
EP1K1000C208-3,PLD,Altera,Y,,,,,,,,,,,,,['SEFI:P']
EPM3128ATC100-5,PLD,Altera,Y,,,,,,,,,,,,,['SEFI:P']
EPM7064ST144-7,PLD,Altera,Y,,,,,,,,,,,,,['SEFI:P']
EP1C12Q24017,FPLD,Altera,Y,,,,,,,,,,,,,['SEFI:P']
FWIXP425BD,IXP425 Network Processor,Intel,Y,,,,,,,,,,,,,['SEFI:P']
TS68302MAB/C16,Processor,Atmel,Y,,,,,,,,,,,,,['SEFI:P']
RK80532EE056512,"Processor, Xeon",Intel,Y,,,,,,,,,,,,,['SEFI:P']
TMS320C6713GDP,Digital Signal Processor,Texas Instruments,Y,,,,,,,,,,,,,['SEFI:P']
SM320VC33GNM150EP,Digital Signal Processor,Texas Instruments,Y,,,,,,,,,,,,,['SEFI:P']
TMS320C6416GLZ,Digital Signal Processor,Texas Instruments,Y,,,,,,,,,,,,,['SEFI:P']
TMS320C6416GLZ,Digital Signal Processor,Texas Instruments,Y,,,,,,,,,,,,,['SEFI:P']
AD7714,24 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
LTC1604,16 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
AD977,16 bit ADC,Analog Devices,Y,,,,,,,,,,,,,['SEL:H']
MAX708,Microprocessor Supervisor,Maxim,Y,,,,,,,,,,,,,['SEL:H']
TSS902F,Viterbi Decoder,Atmel,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
AD9731-713D,10 bit ADC,Analog Devices,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
TS86101G2BVGL,DAC,Atmel,Y,,,,,,,,,,,,,"['SET:H', 'SEFI:H']"
UT54ACS164245,16 bit Transceiver,Aeroflex,Y,,,,,,,,,,,,,"['SET:H', 'SEL:H']"
FZT458,NPN Transistor,Zetex Semicinductor,Y,,,Y,,,,,,,,,,[]
FZT958,PNP Transistor,Zetex Semicinductor,Y,,,Y,,,,,,,,,,[]
LT1211,Operational Amplifier,Linear Technology,Y,,,Y,,,,,,,,,,[]
OP97,Operational Amplifier,Analog Devices,Y,,,Y,,,,,,,,,,[]
UC1845,PWM Controller,Texas Instruments,Y,,,Y,,,,,,,,,,[]
FF150R12KE3G,Insulated Gate Bipolar Transistor,International Rectifier,Y,,,,Y,,,,,,,,,['SEB:H']
STO83S12PFK0,Silicon Controlled Rectifier,Eupec,Y,,,,Y,,,,,,,,,['SEB:H']
TT121N12KOF,Silicon Controlled Rectifier,Eupec,Y,,,,Y,,,,,,,,,['SEB:H']
Test structure,"nFET, PFET, PDSOI",Custom,Y,,,,Y,,,,,,,,,[]
Test structure,"nFET, PFET, PDSSOI",Custom,Y,,,,Y,,,,,,,,,[]
Test structure,InAs HEMT,Custom,Y,,,,Y,,,,,,,,,[]
Test structure,InAs HBT,Custom,Y,,,,Y,,,,,,,,,[]
62000,Light Emitting Diode,Micropac,Y,,,,,,,Y,,,,Y,,[]
62078,Light Emitting Diode,Micropac,Y,,,,,,,Y,,,,,,[]
66193,Optocoupler,Micropac,Y,,,,,,,Y,,,,,,[]
610055,Phototransistor,Micropac,Y,,,,,,,Y,,,,,,[]
SFH464,Light Emitting Diode,Osram Opto,Y,,,,,,,Y,,,,,,[]
L6108,Light Emitting Diode,Hammamatsu,Y,,,,,,,Y,,,,,,[]
L6112,Light Emitting Diode,Hammamatsu,Y,,,,,,,Y,,,,,,[]
SMT680,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
SMT700,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
SMT735,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
SMT760,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
HE7601SG,Light Emitting Diode,OpNext,Y,,,,,,,Y,,,,,,[]
SMT780,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
SMT810,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
SMT820,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
HE8811,Light Emitting Diode,OpNext,Y,,,,,,,Y,,,,,,[]
SMT830,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
L3989,Light Emitting Diode,Hammamatsu,Y,,,,,,,Y,,,,,,[]
TSHG8200,Light Emitting Diode,Vishay,Y,,,,,,,Y,,,,,,[]
TSMG2700,Light Emitting Diode,Vishay,Y,,,,,,,Y,,,,,,[]
LED840-04AU,Light Emitting Diode,Epitex,Y,,,,,,,Y,,,,,,[]
CLE330E,Light Emitting Diode,Clairex,Y,,,,,,,Y,,,,,,[]
L7558,Light Emitting Diode,Hammamatsu,Y,,,,,,,Y,,,,,,[]
SFH4650,Light Emitting Diode,Osram Opto,Y,,,,,,,Y,,,,,,[]
L9337,Light Emitting Diode,Hammamatsu,Y,,,,,,,Y,,,,,,[]
HE8812SG,Light Emitting Diode,OpNext,Y,,,,,,,Y,,,,,,[]
ELD-920-535,Light Emitting Diode,Roithner,Y,,,,,,,Y,,,,,,[]
L9338,Light Emitting Diode,Hammamatsu,Y,,,,,,,Y,,,,,,[]
ELD-950-525,Light Emitting Diode,Roithner,Y,,,,,,,Y,,,,,,[]
SFH4200,Light Emitting Diode,Osram Opto,Y,,,,,,,Y,,,,,,[]
SFH4600,Light Emitting Diode,Osram Opto,Y,,,,,,,Y,,,,,,[]
SFH4209,Light Emitting Diode,Osram Opto,Y,,,,,,,Y,,,,,,[]
MIC29372,Low Dropout Voltage Regulator,Micrel,Y,,,Y,,,,,,,,,,[]
LT1175-5,Low Dropout Voltage Regulator,Linear Technology,Y,,,Y,,,,,,,,,,[]
ISL72991RH,Low Dropout Voltage Regulator,Intersil,Y,,,Y,,,,,,,,,,[]
Test structure,N-channel MOSFET,MagnaChip Semicinductor,Y,,Y,,,,,,,,,,,[]
Test structure,N-channel MOSFET RHBD,MagnaChip/Aeroflex,Y,,Y,,,,,,,,,,,"['SEL:H', 'SEGR:H']"
Test structure,MOSFET Driver RHBD,MagnaChip/Aeroflex,Y,,Y,,,,,,,,,,,"['SEL:H', 'SEGR:H']"
Test structure,Floating Gate Switch Flash FPGA,Actel,Y,,Y,,,,,,,,,,,[]
EP2S60F1020C4,FPGA,Altera,Y,,,,,,,,,,,,,['SEL:H']
HC220-TC1,ASIC,Altera,Y,,,,,,,,,,,,,['SEL:H']
"Test structure, 0.18um",Dice,Jazz/ATK,Y,,,,,,Y,,,,,,,[]
"Test structure, 0.35um",Dice,Jazz/ATK,Y,,,,,,Y,,,,,,,[]
"Test structure, 0.18um",Dice,TSMC/ATK,Y,,,,,,Y,,,,,,,[]
"Test structure, 0.18um",Dice,TSMC/ATK,Y,,,,,,Y,,,,,,,[]
RH108,Operational Amplifier,Linear Technology,Y,,,,,,,,,,,,,['SET:H']
LMH6639,Operational Amplifier,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
LMH6654,Operational Amplifier,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
LMP7711,Operational Amplifier,National Semiconductor,Y,,,,,,,,,,,,,['SET:H']
R6 250VN,Power MOSFET (Prototype),International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
R6 600VN,Power MOSFET (Prototype),International Rectifier,Y,,,,,,,,,,,,,"['SEB:H', 'SEGR:H']"
,Diode,Manufacture A,Y,,,,,,,,,,,,,['SEB:N']
,Diode,Manufacture B,Y,,,,,,,,,,,,,['SEB:N']
,Insulated Gate Bipolar Transistor,Manufacture A,Y,,,,,,,,,,,,,['SEB:N']
,Insulated Gate Bipolar Transistor,Manufacture B,Y,,,,,,,,,,,,,['SEB:N']
"Radiation test beamline protons description at Francis H, Burr Proton Therapy Center",,,,,,,,,,,,,,Y,,[]
Berkely Accelerator Space Effects Light Facility Upgrade description,,,,,,,,,,,,,,Y,,[]
Neutron Radiation Effects Program faciltiy description at Indian University Cyclotron,,,,,,,,,,,,,,Y,,[]
,Proton Maps South Atlantic Anomaly,,,,,,,,,,,,,Y,,[]
ACS/WFC,CCD,SITe,Y,Y,,,,,,Y,,,,,,[]
ACS/HRC,CCD,SITe,Y,Y,,,,,,Y,,,,,,[]
STIS,CCD,SITe,Y,Y,,,,,,Y,,,,,,[]
W/FPC2,CCD,Loral,Y,Y,,,,,,Y,,,,,,[]
,Single Board Computer PPC603r,General Dynamics,,Y,,,Y,,,,,,,Y,,[]
MT48LC16M4A2,16Mx4 SDRAM,Micron,Y,,,,,,,,,,,,,['SEL:H']
MT48LC4MC16A2,4Mx16 SDRAM,Micron,Y,,,,,,,,,,,,,['SEL:H']
Solar Array Arcing,,,Y,,,,,,,,,,,,,[]
"Radiation test beamline protons description at Francis H, Burr Proton Therapy Center",,,,,,,,,,,,Y,,,,[]
Berkely Accelerator Space Effects Light Facility Upgrade description,,,,,,,,,,,,Y,,,,[]
RADEF facility upgrade description,,,,,,,,,,,,Y,,,,[]
"Type TOT-200, 500, 600",RADFET,REM,Y,,"Y,X,P,N",,Y,Y,,,,,,,,[]
a1023,SiC Diode,Cree,Y,,,,,,,,,,,,,"['SEB:H,P']"
CSD10120A,SiC Diode,Cree,Y,,,,,,,Y,,,,,,[]
CSD10120D,SiC Diode,Cree,Y,,,,,,,Y,,,,,,[]
CSD10160A,SiC Diode,Cree,Y,,,,,,,Y,,,,,,[]
CSD04060A,SiC Diode,Cree,Y,,,,,,,Y,,,,,,[]
CSD10030A,SiC Diode,Cree,Y,,,,,,,Y,,,,,,[]
60CTQ150,Schottky Diode,International Rectifier,Y,,,,,,,Y,,,,,,[]
40CTQ150,Schottky Diode,International Rectifier,Y,,,,,,,Y,,,,,,[]
10CTQ150,Schottky Diode,International Rectifier,Y,,,,,,,Y,,,,,,[]
113CNQ100A,Schottky Diode,International Rectifier,Y,,,,,,,Y,,,,,,[]
43CTQ100,Schottky Diode,International Rectifier,Y,,,,,,,Y,,,,,,[]
48CTQ060,Schottky Diode,International Rectifier,Y,,,,,,,Y,,,,,,[]
Test structure,Photodiode InP,HRL Labs,Y,,Y,,,,,,,,,,,[]
Test structure,"Transistor, HBT InP",HRL Labs,Y,,Y,Y,,,,,,,,,,[]
S6436,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S6968,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
C30809,Si PIN Phortodiode,Perkin Elmer Optoelectronics,Y,,,,,,,Y,,,,,,[]
C30822,Si PIN Phortodiode,Perkin Elmer Optoelectronics,Y,,,,,,,Y,,,,,,[]
FFD-200,Si PIN Phortodiode,Perkin Elmer Optoelectronics,Y,,,,,,,Y,,,,,,[]
PC10-7,Si PIN Phortodiode,Perkin Elmer Optoelectronics,Y,,,,,,,Y,,,,,,[]
PC20-7,Si PIN Phortodiode,Pacific Silicon Sensor,Y,,,,,,,Y,,,,,,[]
PC50-7,Si PIN Phortodiode,Pacific Silicon Sensor,Y,,,,,,,Y,,,,,,[]
TEMD5010,Si PIN Phortodiode,Pacific Silicon Sensor,Y,,,,,,,Y,,,,,,[]
TEMD5110,Si PIN Phortodiode,Pacific Silicon Sensor,Y,,,,,,,Y,,,,,,[]
S3399,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S6036,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S6036-01,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S6801,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S6801-01,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S5106,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S7510,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
S5107,Si PIN Phortodiode,Hanamatsu Corporation,Y,,,,,,,Y,,,,,,[]
BPW 34,Si PIN Phortodiode,Osram,Y,,,,,,,Y,,,,,,[]
BPW 34F,Si PIN Phortodiode,Osram,Y,,,,,,,Y,,,,,,[]
BPW34S,Si PIN Phortodiode,Osram,Y,,,,,,,Y,,,,,,[]
,Si Photocell,Sandia MDL,Y,,Y,,,,,,,,,,,[]
PPC-6E,Multi-junction GaAs Photocell,Photonic Power,Y,,Y,,,,,,,,,,,[]
,Phototransistor 8 channel,,Y,,Y,,,,,Y,,,,,,[]
DVSA2805S,DC-DC Converter,VPT Inc.,Y,,Y,,,,,,,,,,,['SET:H']
DVSA2815D,DC-DC Converter,VPT Inc.,Y,,Y,Y,,,,,,,,,,[]
DVFL2815D,DC-DC Converter,VPT Inc.,Y,,Y,,,,,,,,,,,[]
DVFL2805S,DC-DC Converter,VPT Inc.,Y,,Y,Y,,,,,,,,,,[]
IS1009RH,2.5V Voltage Reference,Intersil,Y,,,Y,,,,,,,,,,[]
ISL72991RH,Low Dropout Voltage Regulator,Intersil,Y,,,Y,,,,,,,,,,[]
LT-1078,Operational Amplifier,Linear Technology,Y,,,Y,,,,,,,,,,[]
OP-400,Operational Amplifier,Maxwell,Y,,Y,,,,,,,,,,,[]
358,Analog Multiplexer,Maxwell,Y,,Y,,,,,,,,,,,[]
306,Analog Multiplexer,Maxwell,Y,,Y,,,,,,,,,,,[]
28C010T,1M bit EEPROM,Maxwell,Y,,Y,,,,,,,,,,,[]
7545AA,12 bit DAC,Maxwell,Y,,Y,,,,,,,,,,,[]
7672,12 bit DAC,Maxwell,Y,,Y,,,,,,,,,,,[]
7B991,Programmable Skew Clock Buffer,Maxwell,Y,,Y,,,,,,,,,,,[]
7872,14 bit ADC,Maxwell,Y,,Y,,,,,,,,,,,[]
LTC2052,Operational Amplifier,Linear Technology,Y,,,,,,,,,,,,,"['SEL:H,N']"
LTC1609,Operational Amplifier,Linear Technology,Y,,,,,,,,,,,,,"['SEL:H,N']"
6N134,Optocoupler,,Y,,,,,,,,,,,,,"['SET:H,N']"
LM139,Voltage Comparator,National Semiconductor,Y,,,,,,,,,,,,,"['SET:H,N']"
LM117HVH,Voltage Regulator,National Semiconductor,Y,,,,,,,,,,,,,"['SET:H,N']"
K9F1G08UOM,NAND Flash,Samsung,Y,,,,,,,,,,,,,"['SET:H,N', 'SEFI:H,N']"
229JL0644,NOR Flash,Spansion,Y,,,,,,,,,,,,,"['SET:H,N', 'SEFI:H,N']"
UT8CR512K32,SRAM,Aeroflex,Y,,,,,,,,,,,,,"['SET:H,N', 'SEFI:N']"
MPC7448,Microprocessor,Freescale,Y,,,,,,,,,,,,,"['SET:H,N', 'SEFI:H,N']"
K4S510432M,SDRAM,Samsung,Y,,,,,,,,,,,,,"['SET:N', 'SEFI:N']"
MT48LC128M4A2,SDRAM,Micron,Y,,,,,,,,,,,,,"['SET:N', 'SEFI:N']"
AD565,12 bit DAC,Analog Devices,Y,,Y,,,,,,,,,,,[]
AD670,12 bit DAC,Analog Devices,Y,,Y,,,,,,,,,,,[]
LTC1419,14 bit ADC,Linear Technology,Y,,Y,,,,,,,,,,,[]
Test structure,65 nm N and P MOSFET,IMEC,Y,,Y,,,,,,,,,,,[]
JANS2N2222,Bipolar Transistor,Analog Devices,Y,,Y,,,,,,,,,,,[]
JANS2N3501,Bipolar Transistor,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP200,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP400,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
AD524,Instrumentation Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP27A,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP11,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
OP42,Operational Amplifier,Analog Devices,Y,,Y,,,,,,,,,,,[]
